Index,name,generation,attack,defense,hp,special_attack,special_defense,speed,type_1,type_2,url
0,bulbasaur,1,49,49,45,65,65,45,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pok%C3%A9mon)
1,ivysaur,1,62,63,60,80,80,60,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pok%C3%A9mon)
2,venusaur,1,82,83,80,100,100,80,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon)
3,venusaur (mega venusaur),1,100,123,80,122,120,80,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon)
4,charmander,1,52,43,39,60,50,65,fire,null,https://bulbapedia.bulbagarden.net/wiki/Charmander_(Pok%C3%A9mon)
5,charmeleon,1,64,58,58,80,65,80,fire,null,https://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pok%C3%A9mon)
6,charizard,1,84,78,78,109,85,100,fire,flying,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon)
7,charizard (mega charizard x),1,130,111,78,130,85,100,fire,flying,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon)
8,charizard (mega charizard y),1,104,78,78,159,115,100,fire,flying,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon)
9,squirtle,1,48,65,44,50,64,43,water,null,https://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pok%C3%A9mon)
10,wartortle,1,63,80,59,65,80,58,water,null,https://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pok%C3%A9mon)
11,blastoise,1,83,100,79,85,105,78,water,null,https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon)
12,blastoise (mega blastoise),1,103,120,79,135,115,78,water,null,https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon)
13,caterpie,1,30,35,45,20,20,45,bug,null,https://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pok%C3%A9mon)
14,metapod,1,20,55,50,25,25,30,bug,null,https://bulbapedia.bulbagarden.net/wiki/Metapod_(Pok%C3%A9mon)
15,butterfree,1,45,50,60,90,80,70,bug,flying,https://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pok%C3%A9mon)
16,weedle,1,35,30,40,20,20,50,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Weedle_(Pok%C3%A9mon)
17,kakuna,1,25,50,45,25,25,35,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pok%C3%A9mon)
18,beedrill,1,90,40,65,45,80,75,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon)
19,beedrill (mega beedrill),1,150,40,65,15,80,145,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon)
20,pidgey,1,45,40,40,35,35,56,normal,flying,https://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pok%C3%A9mon)
